"sample_id"	"Type"	"CF_sample_id"
"1"	"GSM5356205"	"non_CF"	"non_CF 1"
"2"	"GSM5356206"	"non_CF"	"non_CF 2"
"3"	"GSM5356207"	"non_CF"	"non_CF 3"
"4"	"GSM5356208"	"non_CF"	"non_CF 4"
"5"	"GSM5356209"	"non_CF"	"non_CF 5"
"6"	"GSM5356210"	"non_CF"	"non_CF 6"
"7"	"GSM5356217"	"CF"	"CF 1"
"8"	"GSM5356218"	"CF"	"CF 2"
"9"	"GSM5356219"	"CF"	"CF 3"
"10"	"GSM5356220"	"CF"	"CF 4"
"11"	"GSM5356221"	"CF"	"CF 5"
"12"	"GSM5356222"	"CF"	"CF 6"
