symbol,surface_binding_energy
H,
He,
Li,1.67
Be,3.38
B,5.73
C,7.41
N,
O,
F,
Ne,
Na,1.12
Mg,1.54
Al,3.36
Si,4.7
P,3.27
S,2.88
Cl,
Ar,
K,0.93
Ca,1.83
Sc,3.49
Ti,4.89
V,5.33
Cr,4.12
Mn,2.98
Fe,4.34
Co,4.43
Ni,4.46
Cu,3.52
Zn,1.35
Ga,2.82
Ge,3.88
As,1.26
Se,2.14
Br,
Kr,
Rb,0.86
Sr,1.7
Y,4.24
Zr,6.33
Nb,7.59
Mo,6.83
Tc,
Ru,6.69
Rh,5.78
Pd,3.91
Ag,2.97
Cd,1.16
In,2.49
Sn,3.12
Sb,2.72
Te,2.02
I,
Xe,
Cs,0.81
Ba,1.84
La,4.42
Ce,4.23
Pr,3.71
Nd,3.28
Pm,
Sm,2.16
Eu,1.85
Gd,3.57
Tb,3.81
Dy,2.89
Ho,3.05
Er,3.05
Tm,2.52
Yb,1.74
Lu,4.29
Hf,6.31
Ta,8.1
W,8.68
Re,8.09
Os,8.13
Ir,6.9
Pt,5.86
Au,3.8
Hg,0.64
Tl,1.88
Pb,2.03
Bi,2.17
Po,1.5
At,
Rn,
Fr,
Ra,
Ac,
Th,5.93
Pa,
U,5.42
Np,
Pu,
Am,
Cm,
Bk,
Cf,
Es,
Fm,
Md,
No,
Lr,
Rf,
Db,
Sg,
Bh,
Hs,
Mt,
Ds,
Rg,
Cn,
Nh,
Fl,
Mc,
Lv,
Ts,
Og,
