"date","time","longitude","latitude"
"2008-11-25","11:30:43",-77.264685,-11.7743883
"2008-11-25","11:31:24",-77.2648817,-11.77432
"2008-11-25","11:31:59",-77.26433,-11.7743283
"2008-11-25","11:32:44",-77.2646767,-11.7749
"2008-11-25","11:33:48",-77.26472,-11.7747917
"2008-11-25","11:34:31",-77.2651083,-11.7745467
"2008-11-25","11:35:12",-77.2647783,-11.77508
"2008-11-25","11:36:18",-77.264745,-11.77504
"2008-11-25","11:38:11",-77.26493,-11.774945
"2008-11-25","11:38:48",-77.264955,-11.774935
"2008-11-25","11:39:25",-77.2649833,-11.7749367
"2008-11-25","11:40:05",-77.2649533,-11.7749683
"2008-11-25","11:41:17",-77.2647767,-11.7750317
"2008-11-25","11:42:28",-77.2648567,-11.774895
"2008-11-25","11:43:52",-77.2648667,-11.7749467
"2008-11-25","11:44:37",-77.264835,-11.77495
"2008-11-25","11:45:43",-77.2648017,-11.7749517
"2008-11-25","11:49:07",-77.264795,-11.774925
"2008-11-25","11:50:31",-77.2648317,-11.7748967
"2008-11-25","11:51:50",-77.2647433,-11.7749933
"2008-11-25","11:52:56",-77.264865,-11.7749467
"2008-11-25","11:53:40",-77.264735,-11.77486
"2008-11-25","11:54:19",-77.264705,-11.7748483
"2008-11-25","11:55:00",-77.2647817,-11.7748617
"2008-11-25","11:55:42",-77.2647433,-11.7749083
"2008-11-25","11:56:24",-77.2647567,-11.7749017
"2008-11-25","11:57:06",-77.264785,-11.7748933
"2008-11-25","11:57:48",-77.264825,-11.77486
"2008-11-25","11:58:25",-77.2647567,-11.77493
"2008-11-25","11:59:07",-77.2647567,-11.77493
"2008-11-25","11:59:42",-77.2647617,-11.7749033
"2008-11-25","12:00:27",-77.26477,-11.774945
"2008-11-25","12:01:41",-77.2647233,-11.77496
"2008-11-25","12:02:40",-77.264705,-11.774965
"2008-11-25","12:03:18",-77.2647467,-11.774995
"2008-11-25","12:04:00",-77.2647133,-11.77499
"2008-11-25","12:04:46",-77.264775,-11.7749767
"2008-11-25","12:05:57",-77.2647367,-11.7749833
"2008-11-25","12:08:12",-77.2647133,-11.775
"2008-11-25","12:09:09",-77.2649233,-11.7749117
"2008-11-25","12:10:41",-77.264345,-11.7749183
"2008-11-25","12:11:23",-77.2644667,-11.7750117
"2008-11-25","12:12:07",-77.2643867,-11.7749983
"2008-11-25","12:12:46",-77.26447,-11.77505
"2008-11-25","12:13:24",-77.2644733,-11.7750667
"2008-11-25","12:14:00",-77.2644983,-11.775035
"2008-11-25","12:14:44",-77.2645517,-11.77505
"2008-11-25","12:15:26",-77.264145,-11.7748567
"2008-11-25","12:16:02",-77.26451,-11.7750633
"2008-11-25","12:16:42",-77.26452,-11.7749867
"2008-11-25","12:17:19",-77.2644867,-11.7750117
"2008-11-25","12:18:00",-77.2645733,-11.7750383
"2008-11-25","12:18:37",-77.2644633,-11.775065
"2008-11-25","12:19:12",-77.2644833,-11.775025
"2008-11-25","12:19:49",-77.2644583,-11.7750633
"2008-11-25","12:20:25",-77.26449,-11.77504
"2008-11-25","12:21:02",-77.264485,-11.7750783
"2008-11-25","12:21:42",-77.26446,-11.7751167
"2008-11-25","12:22:24",-77.2645733,-11.774965
"2008-11-25","12:23:07",-77.26446,-11.77507
"2008-11-25","12:23:43",-77.2644483,-11.7751967
"2008-11-25","12:24:24",-77.2644967,-11.775035
"2008-11-25","12:25:01",-77.264465,-11.7750883
"2008-11-25","12:25:42",-77.264495,-11.7750583
"2008-11-25","12:26:24",-77.2644483,-11.77493
"2008-11-25","12:27:06",-77.264515,-11.775055
"2008-11-25","12:27:48",-77.2645917,-11.7750667
