Angle of Attack,0,18,36,54,72,90,108,126,144,162,180
Projected Area [m^2],1.1853,1.695979,2.458166,3.047409,3.490568,3.567229,3.491993,3.057534,2.455826,1.691499,1.187159
CdA,0.11609,0.1377,0.2427,0.4018,0.5334,0.6676,0.5937,0.5192,0.2266,0.1266,0.1168
Drag [N],23.41,39.73,101.51,208.35,316.84,411.29,352.76,270.13,94.67,36.43,23.58
ClA,-0.3166,-0.1992,-0.2345,-0.2847,-0.3425,-0.7522,-0.6366,-0.5173,-0.07,-0.1113,-0.1814
Lift [N],-63.84,-57.48,-98.06,-147.61,-203.43,-457.57,-378.23,-269.12,-29.26,-32.03,-36.64
Directional Drag [N],23.41,37.78547539,82.1233151,122.4650573,97.9089445,0,-109.0088349,-158.7784302,-76.58963886,-34.64698889,-23.58
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Wind speed:,16.667m/s (60km/hr),,,,,,,,,
