station_abbr,station_name,station_canton,station_wigos_id,station_type_fr,station_type_en,station_dataowner,station_data_since,station_height_masl,station_height_barometer_masl,station_coordinates_lv95_east,station_coordinates_lv95_north,station_coordinates_wgs84_lat,station_coordinates_wgs84_lon,station_exposition_fr,station_exposition_en,station_url_fr,station_url_en
ABO,Adelboden,BE,0-20000-0-06735,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz/SLF,01.01.1901,1321,1326,2609372,1148939,46.491703,7.560703,Versant sud-est,south-eastern oriented slope,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=ABO,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=ABO
AEG,Oberägeri,ZG,0-20000-0-06676,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.02.1993,724,,2688729,1220956,47.133636,8.608206,Plaine,plain,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=AEG,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=AEG
AIG,Aigle,VD,0-20000-0-06712,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1961,381,382,2560404,1130713,46.326647,6.924472,Plaine,plain,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=AIG,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=AIG
ALT,Altdorf,UR,0-20000-0-06672,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1864,438,440,2690181,1193564,46.887069,8.621894,Plaine,plain,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=ALT,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=ALT
AND,Andeer,GR,0-20000-0-06787,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1901,987,988,2752692,1164038,46.610139,9.431981,Plaine,plain,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=AND,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=AND
ANT,Andermatt,UR,0-20000-0-06695,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz/SLF,01.01.1864,1435,1436,2687445,1165044,46.630914,8.580553,Dépression,basin,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=ANT,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=ANT
ARH,Altenrhein,SG,0-20000-0-06690,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,15.01.1993,398,399,2760387,1261382,47.483631,9.56685,Plaine,plain,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=ARH,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=ARH
ARO,Arosa,GR,0-20000-0-06785,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz/SLF,01.01.1890,1878,1879,2771031,1184830,46.792661,9.679014,Versant sud-est,south-eastern oriented slope,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=ARO,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=ARO
ATT,Les Attelas,VS,0-20000-0-06723,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,10.08.1993,2734,2735,2586854,1105302,46.0991,7.26865,Sommet,crest,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=ATT,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=ATT
BAN,Bantiger,BE,0-20000-0-06634,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,16.12.1992,942,,2606850,1202975,46.977806,7.528667,Sommet,crest,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=BAN,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=BAN
BAS,Basel / Binningen,BL,0-20000-0-06601,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1755,316,318,2610909,1265612,47.541142,7.583525,Butte (30-100 m au-dessus du fond de vallée),height (30-100 m above valley),https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=BAS,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=BAS
BEH,Passo del Bernina,GR,0-20000-0-06797,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.11.1908,2260,2261,2798423,1143020,46.409158,10.019567,Col,pass,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=BEH,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=BEH
BER,Bern / Zollikofen,BE,0-20000-0-06631,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1864,553,554,2601934,1204410,46.990744,7.464061,Plaine,plain,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=BER,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=BER
BEZ,Beznau,AG,0-20000-0-06646,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1959,326,327,2659813,1267696,47.557256,8.233325,Plaine,plain,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=BEZ,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=BEZ
BIA,Biasca,TI,0-756-0-BIA,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1900,278,279,2718535,1132792,46.336053,8.978197,Plaine,plain,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=BIA,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=BIA
BIE,Bière,VD,0-20000-0-06704,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.05.1974,684,684,2515887,1153211,46.524908,6.342386,Plaine,plain,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=BIE,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=BIE
BIN,Binn,VS,0-20000-0-06721,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.08.1899,1479,,2657996,1135421,46.367661,8.192306,Vallée,valley,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=BIN,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=BIN
BIV,Bivio,GR,0-20000-0-06774,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz/SLF,01.01.1892,1856,,2771283,1148119,46.462494,9.668639,Versant sud,southern oriented slope,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=BIV,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=BIV
BIZ,Bischofszell / Sitterdorf,TG,0-20000-0-06678,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1900,507,508,2737714,1263613,47.508828,9.266797,Plaine,plain,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=BIZ,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=BIZ
BLA,Blatten Lötschental,VS,0-20000-0-06725,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1959,1538,1539,2629564,1141084,46.420453,7.823194,Vallée,valley,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=BLA,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=BLA
BOL,Boltigen,BE,0-20000-0-06733,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1959,820,821,2595831,1163587,46.623519,7.384206,Plaine,plain,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=BOL,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=BOL
BOU,Bouveret,VS,0-20000-0-06709,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,14.09.1993,374,375,2555263,1138175,46.393447,6.857006,Plaine,plain,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=BOU,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=BOU
