station_abbr,station_name,station_canton,station_wigos_id,station_type_fr,station_type_en,station_dataowner,station_data_since,station_height_masl,station_height_barometer_masl,station_coordinates_lv95_east,station_coordinates_lv95_north,station_coordinates_wgs84_lat,station_coordinates_wgs84_lon,station_exposition_fr,station_exposition_en,station_url_fr,station_url_en
BRL,La Brévine,NE,0-20000-0-06617,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1901,1050,1051,2536981,1203975,46.983844,6.610297,Plaine,plain,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=BRL,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=BRL
BRZ,Brienz,BE,0-20000-0-06656,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1901,567,568,2647553,1176803,46.740719,8.060864,Plaine,plain,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=BRZ,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=BRZ
BUF,Buffalora,GR,0-20000-0-06778,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1917,1971,1970,2816494,1170255,46.648408,10.2672,Plaine,plain,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=BUF,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=BUF
BUS,Buchs / Aarau,AG,0-20000-0-06633,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1959,387,388,2648396,1248370,47.384381,8.07955,Plaine,plain,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=BUS,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=BUS
CDF,La Chaux-de-Fonds,NE,0-20000-0-06612,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1900,1017,1018,2550919,1214862,47.082947,6.792314,Dépression,basin,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=CDF,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=CDF
CDM,Col des Mosses,VD,0-20000-0-06713,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1972,1412,,2573817,1137853,46.391525,7.098239,Col,pass,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=CDM,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=CDM
CEV,Cevio,TI,0-20000-0-06752,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1900,417,422,2689688,1130564,46.320486,8.603161,Vallée,valley,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=CEV,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=CEV
CGI,Nyon / Changins,VD,0-20000-0-06705,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1959,458,460,2506878,1139574,46.401053,6.227722,Butte (30-100 m au-dessus du fond de vallée),height (30-100 m above valley),https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=CGI,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=CGI
CHA,Chasseral,BE,0-20000-0-06605,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,31.12.1980,1594,1596,2570845,1220158,47.131761,7.054367,Sommet,crest,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=CHA,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=CHA
CHB,Les Charbonnières,VD,0-20000-0-06703,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1959,1045,1046,2513821,1169388,46.67015,6.312428,Versant sud,southern oriented slope,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=CHB,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=CHB
CHD,Château-d'Oex,VD,0-20000-0-06627,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1879,1028,1029,2577040,1147655,46.479819,7.139656,Versant sud,southern oriented slope,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=CHD,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=CHD
CHM,Chaumont,NE,0-20000-0-06608,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1864,1136,1137,2565060,1211007,47.049169,6.978825,Butte (30-100 m au-dessus du fond de vallée),height (30-100 m above valley),https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=CHM,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=CHM
CHU,Chur,GR,0-20000-0-06786,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1887,556,557,2759485,1193176,46.870572,9.530761,Plaine,plain,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=CHU,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=CHU
CHZ,Cham,ZG,0-20000-0-06674,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1961,443,443,2677759,1226878,47.188278,8.464642,Butte (30-100 m au-dessus du fond de vallée),height (30-100 m above valley),https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=CHZ,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=CHZ
CIM,Cimetta,TI,0-20000-0-06759,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,13.10.1981,1661,1662,2704434,1117457,46.200467,8.79165,Sommet,crest,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=CIM,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=CIM
CMA,Crap Masegn,GR,0-20000-0-06688,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,13.02.1992,2468,2484,2732824,1189378,46.842275,9.180042,Sommet,crest,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=CMA,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=CMA
COM,Acquarossa / Comprovasco,TI,0-20000-0-06756,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1900,575,576,2714985,1146451,46.459517,8.935486,Vallée,valley,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=COM,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=COM
COV,Piz Corvatsch,GR,0-20000-0-06791,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,26.07.1979,3294,3302,2783156,1143524,46.418039,9.821308,Sommet,crest,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=COV,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=COV
COY,Courtelary,BE,0-20000-0-06710,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1913,695,,2573623,1225598,47.180811,7.090656,Plaine,plain,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=COY,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=COY
CRM,Cressier,NE,0-20000-0-06606,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,24.10.1991,430,431,2571163,1210798,47.047581,7.059147,Plaine,plain,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=CRM,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=CRM
DAV,Davos,GR,0-20000-0-06784,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz/SLF,01.01.1864,1594,1596,2783519,1187459,46.812969,9.843558,Versant sud-est,south-eastern oriented slope,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=DAV,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=DAV
DEM,Delémont,JU,0-20000-0-06602,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,14.07.1892,439,440,2593270,1244543,47.351706,7.349567,Plaine,plain,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=DEM,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=DEM
DIA,Les Diablerets,VD,0-20000-0-06714,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,12.10.1992,2964,2965,2581913,1130622,46.32675,7.203781,Sommet,crest,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=DIA,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=DIA
DIS,Disentis,GR,0-20000-0-06782,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1959,1197,1198,2708191,1173793,46.706569,8.853478,Versant sud-est,south-eastern oriented slope,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=DIS,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=DIS
DOL,La Dôle,VD,0-20000-0-06702,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1973,1670,1671,2497059,1142373,46.424794,6.099453,Sommet,crest,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=DOL,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=DOL
EBK,Ebnat-Kappel,SG,0-20000-0-06693,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.08.1879,623,624,2726348,1237176,47.273389,9.108494,Vallée,valley,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=EBK,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=EBK
EGH,Eggishorn,VS,0-20000-0-06739,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,20.10.1993,2892,2893,2650279,1141897,46.426528,8.092728,Sommet,crest,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=EGH,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=EGH
EGO,Egolzwil,LU,0-20000-0-06648,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1961,522,523,2642913,1225541,47.179428,8.004758,Plaine,plain,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=EGO,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=EGO
EIN,Einsiedeln,SZ,0-20000-0-06675,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1864,911,912,2699984,1221068,47.133042,8.756556,Plaine,plain,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=EIN,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=EIN
ELM,Elm,GL,0-20000-0-06682,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.02.1878,958,958,2732266,1198424,46.923742,9.175347,Plaine,plain,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=ELM,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=ELM
ENG,Engelberg,OW,0-20000-0-06655,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz/SLF,01.01.1864,1036,1037,2674162,1186069,46.821639,8.410514,Versant sud-ouest,south-western oriented slope,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=ENG,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=ENG
EVI,Evionnaz,VS,0-20000-0-06715,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,30.08.1993,482,483,2568196,1114693,46.182953,7.026747,Butte (30-100 m au-dessus du fond de vallée),height (30-100 m above valley),https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=EVI,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=EVI
EVO,Evolène / Villa,VS,0-20000-0-06722,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,23.09.1986,1825,1829,2605412,1106748,46.112211,7.508631,Versant sud-ouest,south-western oriented slope,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=EVO,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=EVO
FAH,Fahy,JU,0-20000-0-06616,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1957,596,598,2562465,1252676,47.423814,6.941194,Plaine,plain,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=FAH,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=FAH
FLU,Flühli,LU,,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.08.1882,940,,2644333,1193311,46.889436,8.020336,Versant ouest,western oriented slope,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=FLU,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=FLU
FRE,Bullet / La Frétaz,VD,0-20000-0-06619,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1978,1205,1207,2534225,1188082,46.840622,6.576369,Versant sud-est,south-eastern oriented slope,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=FRE,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=FRE
FRU,Frutigen,BE,0-20000-0-06613,Stations météorologiques automatiques,Automatic weather stations,MeteoSchweiz,01.01.1901,756,,2616773,1160884,46.599003,7.657542,Plaine,plain,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=FRU,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=FRU
