Found 2315 files matching patterns
  - 2254 ignored (matching .gitignore or ignore patterns)
  - 61 python files ✓

Analyzing 61 Python files...
location,avg_file_loc,file_count,function_count,total_loc
.,141.4,5,10,707.0
DEMOS,185.8,5,62,929.0
DEMOS/TUTORIAL,237.875,8,83,1903.0
antipasta,4.5,2,0,9.0
antipasta/cli,143.66666666666666,6,18,862.0
antipasta/core,152.0,6,57,760.0
antipasta/hooks,0,1,0,0
antipasta/runners,44.0,2,6,44.0
antipasta/runners/javascript,0,1,0,0
antipasta/runners/python,152.33333333333334,3,26,457.0
antipasta/runners/typescript,0,1,0,0
antipasta/terminal,204.375,8,206,1635.0
antipasta/terminal/themes,1.0,1,0,1.0
antipasta/terminal/utils,1.0,1,0,1.0
antipasta/terminal/widgets,185.88888888888889,9,120,1673.0
antipasta/utils,32.0,2,1,32.0
